state,county,rgdp2012,rgdp2013,rgdp2014,rgdp2015
GA,Hart,609488,663040,653217,699051
GA,Heard,1189494,819270,1055596,1161128
GA,Henry,4060459,4474493,4686760,4868673
GA,Houston,5463883,5336244,5391164,5375317
GA,Irwin,185240,183937,171660,194161
GA,Jackson,1897466,1925467,2015319,2364344
GA,Jasper,160778,150934,146876,150470
GA,Jeff Davis,341104,345455,348738,359198
GA,Jefferson,413611,408257,408242,411031
GA,Jenkins,105602,109712,114081,121593
GA,Johnson,109112,106842,106596,104681
GA,Jones,295235,306823,310795,312903
GA,Lamar,276405,282781,291438,293718
GA,Lanier,104489,111749,130202,141733
GA,Laurens,1356986,1382861,1385793,1546249
GA,Lee,433905,431915,419202,417550
GA,Liberty,3578371,3455280,3238834,3195972
GA,Lincoln,100577,95973,95060,96344
GA,Long,72830,71525,73363,77444
GA,Lowndes,4024413,4093830,4119402,4200590
GA,Lumpkin,514855,535548,547575,558023
GA,McDuffie,549009,524270,525771,547530
GA,McIntosh,135737,129597,129807,128545
GA,Macon,325512,313976,311664,333638
GA,Madison,329369,317253,301269,310307
GA,Marion,136774,126409,102987,101184
GA,Meriwether,402791,367477,352182,347538
GA,Miller,143059,148981,153791,160141
GA,Mitchell,639107,632136,626701,655530
GA,Monroe,1853386,1675805,1539776,1423368
GA,Montgomery,113328,111621,109312,109150
GA,Morgan,522427,531061,541863,556775
GA,Murray,1038143,919147,892383,1010499
GA,Muscogee,9135304,8860670,8928971,8936289
GA,Newton,1831499,1816024,1867232,2011045
GA,Oconee,899643,778397,896582,944206
GA,Oglethorpe,175445,181119,179127,199053
GA,Paulding,1570289,1609445,1652971,1760042
GA,Peach,607557,619707,698627,746993
GA,Pickens,728928,669131,724650,779211
GA,Pierce,297563,299652,298876,312631
GA,Pike,212954,204979,205312,208488
GA,Polk,864504,880102,915055,953500
GA,Pulaski,222707,223421,223875,233339
GA,Putnam,507478,509384,493378,376193
GA,Quitman,25359,23164,23994,23992
GA,Rabun,320338,347200,353452,361568
GA,Randolph,151240,153065,152709,156003
GA,Richmond,9951167,10332275,10478687,10907755
GA,Rockdale,2893852,2873024,2971848,3126190
GA,Schley,110707,108874,95881,94411
GA,Screven,264762,277099,268486,270000
GA,Seminole,208457,207287,205619,207576
GA,Spalding,1667881,1620430,1572986,1599744
GA,Stephens,735811,675866,691035,713216
GA,Stewart,88403,96948,115329,122929
GA,Sumter,910966,918834,878901,896089
GA,Talbot,78973,62922,66612,74486
GA,Taliaferro,15350,14220,15107,16162
GA,Tattnall,473678,468149,458819,497369
GA,Taylor,121372,118538,125646,150028
GA,Telfair,228013,271755,315416,351418
GA,Terrell,199864,189042,196598,191547
GA,Thomas,1913739,1865714,1975705,2054483
GA,Tift,1453934,1430315,1512391,1696300
GA,Toombs,825263,824992,841536,863747
GA,Towns,227905,241155,252537,254300
GA,Treutlen,70166,69861,73953,79362
GA,Troup,3057657,3343029,3421730,3577788
GA,Turner,172472,169413,163962,166661
GA,Twiggs,122910,123678,109584,121429
GA,Union,495954,490499,507370,518230
GA,Upson,523044,494211,491113,467459
GA,Walker,1063796,1103172,1039788,1038521
GA,Walton,1690330,1613108,1722787,1849160
GA,Ware,1134958,1130906,1116434,1129223
GA,Warren,106328,113382,112378,116891
GA,Washington,545465,511371,512440,517546
GA,Wayne,763631,693072,648700,639877
GA,Webster,43553,41841,39430,42759
GA,Wheeler,98809,110712,127459,129698
GA,White,520009,478402,467569,452377
GA,Whitfield,4669362,4792139,4856692,4830162
GA,Wilcox,137968,123955,117956,124839
GA,Wilkes,226527,215816,212105,216546
GA,Wilkinson,292343,332101,351736,361866
GA,Worth,300190,299251,299204,311828
HI,Hawaii,6576157,6693535,6687535,6809286
HI,Honolulu,57751576,58213690,58362634,60247086
HI,Kauai,3369017,3450513,3405355,3703940
HI,Maui + Kalawao,5885974,5919628,6048569,6251209
ID,Ada,20515186,21725941,22574766,22865665
ID,Adams,87021,91711,96183,98278
ID,Bannock,2487823,2478679,2627456,2737488
ID,Bear Lake,142492,144270,142466,149258
ID,Benewah,258361,257424,258163,261456
ID,Bingham,1245117,1243519,1238930,1236588
ID,Blaine,1334089,1351795,1402494,1416236
ID,Boise,105000,105456,104061,109130
ID,Bonner,1187630,1219866,1223493,1235729
ID,Bonneville,3927849,4020984,4154393,4425773
ID,Boundary,269976,265104,264116,280769
ID,Butte,970676,867145,826932,750791
ID,Camas,42816,44595,53455,47070
ID,Canyon,4240971,4403730,4457300,4632281
ID,Caribou,446343,449196,369148,431190
ID,Cassia,1082199,1105131,1176269,1214249
ID,Clark,43148,48001,55098,54349
ID,Clearwater,347734,351513,327991,312426
ID,Custer,155183,170791,176048,126521
ID,Elmore,909575,950143,944012,1016440
ID,Franklin,230003,235438,241721,249748
ID,Fremont (includes Yellowstone National Park),266915,281119,273373,278201
ID,Gem,261485,270955,266175,276255
ID,Gooding,731656,707468,723500,746255
ID,Idaho,370552,377482,395339,405453
ID,Jefferson,493363,489045,490080,515538
ID,Jerome,893781,894447,946558,968216
ID,Kootenai,4622034,4733277,4747996,5022996
ID,Latah,1042738,1093654,1088637,1118380
ID,Lemhi,185045,182657,185848,183062
ID,Lewis,137026,138526,143725,151549
ID,Lincoln,162037,165844,181482,197575
ID,Madison,921292,942136,985356,1040589
ID,Minidoka,618332,687534,736738,783822
ID,Nez Perce,1633918,1643627,1640608,1701873
ID,Oneida,81944,90263,98639,98567
ID,Owyhee,276405,293904,311547,318133
ID,Payette,601368,691928,695500,787963
ID,Power,413264,468465,493423,541139
ID,Shoshone,441927,461979,497873,473448
ID,Teton,270700,264877,291694,292430
ID,Twin Falls,2559983,2693963,2727683,2886102
ID,Valley,372233,372878,383910,371885
ID,Washington,377176,355563,352803,336614
IL,Adams,3087705,2982501,2894312,2830820
IL,Alexander,137150,142881,132681,127381
IL,Bond,442333,471888,469181,456041
IL,Boone,1347656,1405927,1359971,1369405
IL,Brown,324599,343495,336877,331025
IL,Bureau,1112481,1244563,1231151,1139954
IL,Calhoun,67601,77012,69398,61814
IL,Carroll,460533,509562,462383,420220
IL,Cass,500023,556166,529957,509960
IL,Champaign,9619440,9788132,9724580,9710043
IL,Christian,1204840,1285330,1269448,1158762
IL,Clark,414492,472606,424793,410187
IL,Clay,532417,543639,549962,516554
IL,Clinton,876316,965762,973598,985782
IL,Coles,1869534,1972858,1964718,1995832
IL,Cook,352175982,349766381,350385001,355313637
IL,Crawford,1735056,2228076,2938254,2406234
IL,Cumberland,221220,237297,226895,221096
IL,DeKalb,3350563,3441437,3316801,3343378
IL,De Witt,605073,635016,618616,609781
IL,Douglas,752734,832884,816803,805479
IL,DuPage,77317240,77342142,78454053,82314554
IL,Edgar,637587,715823,665304,621755
IL,Edwards,246644,239662,232801,221239
IL,Effingham,1634403,1740887,1762678,1741889
IL,Fayette,431259,484420,473012,476949
IL,Ford,462068,504551,471949,438072
IL,Franklin,789989,765050,732938,704269
IL,Fulton,806162,845212,785657,734974
IL,Gallatin,178794,227357,199050,186469
IL,Greene,269272,309222,271700,236495
